title,release_date,price,link,average_review,num_positive_reviews,num_reviews,tags,genres,minrequirements
Project Kat - Paper Lily Prologue,"Oct 15, 2021",0,https://store.steampowered.com/app/1698960/Project_Kat__Paper_Lily_Prologue/?snr=1_7_7_230_150_1,Overwhelmingly Positive,99,,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Free to Play', 'Indie']","['Requires a 64-bit processor and operating system', 'OS: Windows 7 (64-bit) or above', 'Processor: Intel Core i3 4th generation or above', 'Memory: 4 GB RAM', 'Graphics: OpenGL ES 3.0 Compatible', 'Storage: 150 MB available space', 'Sound Card: WASAPI Compatible']"
Helltaker,"May 11, 2020",0,https://store.steampowered.com/app/1289310/Helltaker/?snr=1_7_7_230_150_1,Overwhelmingly Positive,96,,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Adventure', 'Free to Play']",[]
Grimm's Hollow,"Oct 30, 2019",0,https://store.steampowered.com/app/1170880/Grimms_Hollow/?snr=1_7_7_230_150_1,Overwhelmingly Positive,100,,"['Single-player', 'Partial Controller Support', 'Steam Cloud', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Free to Play', 'Indie']",[]
Our Life: Beginnings & Always,"Nov 16, 2020",0,https://store.steampowered.com/app/1129190/Our_Life_Beginnings__Always/?snr=1_7_7_230_150_1,Overwhelmingly Positive,99,,"['Single-player', 'Steam Achievements']","['Casual', 'Free to Play', 'Indie']",[]
The Supper,"Jan 28, 2020",0,https://store.steampowered.com/app/1171370/The_Supper/?snr=1_7_7_230_150_1,Very Positive,100,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Casual', 'Free to Play']",[]
100 hidden frogs,"Nov 15, 2021",0,https://store.steampowered.com/app/1806840/100_hidden_frogs/?snr=1_7_7_230_150_1,Overwhelmingly Positive,99,,"['Single-player', 'Steam Achievements', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Casual', 'Free to Play', 'Indie']",[]
Purrgatory,"Aug 22, 2021",0,https://store.steampowered.com/app/1713610/Purrgatory/?snr=1_7_7_230_150_1,Overwhelmingly Positive,97,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Casual', 'Free to Play']","['Requires a 64-bit processor and operating system', 'OS: Windows 7', 'Processor: 2 GHz', 'Memory: 2 GB RAM', 'Storage: 200 MB available space']"
枝江畔之梦,"Jan 27, 2022",0,https://store.steampowered.com/app/1827680/_/?snr=1_7_7_230_150_1,Very Positive,98,,"['Single-player', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']",['Casual'],[]
永冻之壳 The Shell of Permafrost,"Dec 9, 2018",0,https://store.steampowered.com/app/976940/_The_Shell_of_Permafrost/?snr=1_7_7_230_150_1,Overwhelmingly Positive,98,,"['Single-player', 'Steam Achievements', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Casual', 'Free to Play', 'Indie']","['OS: Windows 98/Me/XP/Vista/7/8/8.1/10', 'Processor: Intel Celeron', 'Memory: 512 MB RAM', 'Graphics: Intel HD 630', 'DirectX: Version 9.0c', 'Storage: 150 MB available space', 'Sound Card: Realtek']"
I MAED A GAM3 W1TH Z0MB1ES 1N IT!!!1,"Nov 11, 2021",0,https://store.steampowered.com/app/1800730/I_MAED_A_GAM3_W1TH_Z0MB1ES_1N_IT1/?snr=1_7_7_230_150_1,Very Positive,95,,"['Single-player', 'Shared/Split Screen Co-op', 'Full controller support', 'Remote Play Together']","['Action', 'Casual', 'Free to Play', 'Indie']","['OS: Windows Vista SP2', 'Processor: Intel Core 2 Duo 2.8 GHz or equivalent', 'Memory: 256 MB RAM', 'Graphics: Direct3D 11 support (feature level 10_0)', 'DirectX: Version 11', 'Storage: 100 MB available space', 'Additional Notes: SDL_GameController devices fully supported']"
Jerma's Big Adventure,"Aug 27, 2021",0,https://store.steampowered.com/app/1722570/Jermas_Big_Adventure/?snr=1_7_7_230_150_1,Very Positive,100,,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Adventure', 'Free to Play']",[]
